x	error	n	n_error	u	u_error	Events
2.69	3.33	-158.69	3.29	15.62	12.31	0.0
0.71	3.15	-161.34	3.28	18.22	11.88	0.0
0.1	2.15	-159.51	2.08	20.97	7.48	0.0
0.89	2.1	-158.93	2.02	16.58	7.31	0.0
2.49	2.51	-159.0	2.54	20.12	9.16	0.0
1.71	2.61	-158.8	2.6	20.71	9.63	0.0
0.2	2.51	-161.64	2.47	21.66	9.1	0.0
2.89	2.23	-159.16	2.19	20.45	8.27	0.0
1.73	2.52	-160.31	2.5	21.72	9.27	0.0
0.61	2.28	-159.03	2.26	12.71	8.21	0.0
0.93	2.56	-158.46	2.57	13.22	9.58	0.0
1.31	2.31	-159.95	2.34	19.02	8.35	0.0
1.07	2.19	-158.8	2.09	22.14	7.61	0.0
1.21	2.25	-156.86	2.23	19.5	8.14	0.0
0.76	2.09	-159.08	2.05	8.3	7.43	0.0
1.0	2.19	-158.38	2.17	18.95	8.02	0.0
1.2	2.05	-157.4	2.05	15.65	7.27	0.0
1.0	1.96	-158.44	1.94	20.16	7.02	0.0
1.66	2.07	-157.52	2.0	20.47	7.22	0.0
1.41	2.01	-158.58	1.97	15.94	6.95	0.0
-1.16	2.04	-159.36	2.03	10.2	7.2	0.0
1.82	1.95	-157.48	1.95	14.66	6.91	0.0
0.67	1.9	-157.14	1.87	11.13	6.77	0.0
0.91	2.23	-157.29	2.27	12.51	8.2	0.0
0.71	2.38	-158.33	2.39	11.03	8.7	0.0
-0.41	2.67	-157.88	2.67	17.23	9.85	0.0
1.35	3.49	-158.67	3.68	9.93	13.59	0.0
-0.43	3.12	-160.43	3.2	4.65	11.68	0.0
3.08	2.75	-156.63	2.71	16.7	10.04	0.0
-0.31	2.85	-153.04	2.85	13.08	10.42	0.0
2.48	2.42	-156.4	2.42	18.06	8.78	0.0
1.31	2.05	-155.91	2.03	17.08	7.39	0.0
0.65	2.03	-156.67	2.0	13.75	7.12	0.0
3.98	2.3	-154.43	2.24	7.19	7.87	0.0
-0.13	2.62	-155.63	2.59	15.11	9.47	0.0
2.13	2.4	-155.3	2.38	6.21	8.83	0.0
1.76	2.43	-155.42	2.47	10.36	9.21	0.0
1.18	1.95	-158.45	1.92	10.57	7.01	0.0
1.17	2.19	-157.3	2.17	18.49	7.99	0.0
-0.8	2.18	-156.17	2.18	17.52	7.99	0.0
1.49	2.06	-156.86	2.01	12.52	7.36	0.0
0.92	1.95	-156.36	1.9	12.76	6.99	0.0
-1.41	2.86	-157.51	2.6	12.8	8.62	0.0
1.07	2.52	-155.91	2.49	14.95	9.15	0.0
0.38	2.39	-155.33	2.35	13.59	8.62	0.0
0.53	2.41	-154.44	2.38	15.84	8.79	0.0
1.44	2.1	-154.46	2.06	20.42	7.59	0.0
2.31	2.14	-156.01	2.12	15.39	7.39	0.0
1.42	2.09	-155.17	2.14	16.58	7.55	0.0
1.57	1.91	-155.49	1.91	11.41	6.79	0.0
1.77	2.02	-155.5	2.0	12.35	7.37	0.0
1.77	2.16	-156.39	2.18	13.14	7.92	0.0
0.47	2.54	-155.52	2.39	16.44	8.68	0.0
0.36	2.21	-156.29	2.22	7.73	8.13	0.0
0.77	2.04	-155.46	2.05	14.51	7.37	0.0
0.65	2.06	-155.3	2.05	17.32	7.56	0.0
1.52	2.03	-153.45	2.02	14.61	7.34	0.0
-0.6	2.03	-154.26	2.02	12.87	7.32	0.0
0.23	1.87	-153.97	1.89	9.84	6.79	0.0
0.66	2.17	-154.75	2.03	10.19	7.4	0.0
1.57	2.39	-157.13	2.38	15.05	8.6	0.0
-0.51	3.33	-152.0	3.45	24.12	12.96	0.0
-0.31	2.58	-153.53	2.45	15.15	9.0	0.0
-1.33	2.15	-153.85	2.16	21.95	7.81	0.0
-3.13	2.04	-153.43	1.99	13.41	7.16	0.0
1.3	2.05	-153.99	2.03	19.75	7.39	0.0
1.85	2.27	-152.81	2.25	21.51	8.25	0.0
0.5	2.12	-153.8	2.13	9.28	7.6	0.0
-0.17	2.22	-154.29	2.17	19.84	7.71	0.0
-1.08	2.54	-153.44	2.46	11.2	8.98	0.0
-1.9	2.5	-154.16	2.53	7.37	9.18	0.0
0.37	1.97	-154.69	2.02	8.39	7.22	0.0
0.49	1.94	-153.78	1.98	3.43	7.14	0.0
0.89	2.06	-153.62	2.07	9.25	7.55	0.0
0.68	1.88	-153.83	1.89	11.21	6.83	0.0
0.72	1.88	-153.42	1.84	7.33	6.68	0.0
-1.07	1.97	-153.45	1.91	9.61	6.89	0.0
2.53	2.08	-153.11	2.0	12.86	7.12	0.0
0.37	2.96	-153.46	2.89	11.56	10.23	0.0
1.13	3.21	-154.35	3.18	12.4	11.48	0.0
-2.61	3.26	-152.23	3.4	8.68	12.36	0.0
2.19	2.69	-153.85	2.78	15.47	10.12	0.0
1.21	2.08	-153.97	2.09	8.73	7.59	0.0
-0.82	1.66	-153.87	1.56	7.58	5.36	0.0
-0.23	2.1	-152.42	2.14	15.83	7.74	0.0
-1.38	1.88	-152.02	1.87	12.79	6.95	0.0
0.11	2.05	-151.95	2.05	10.38	7.47	0.0
-1.33	2.11	-153.51	2.12	14.25	7.78	0.0
1.18	1.83	-153.37	1.66	20.54	5.84	0.0
-0.9	2.31	-153.46	2.27	12.63	8.13	0.0
-1.25	1.97	-153.9	1.97	8.89	7.09	0.0
-0.8	1.71	-153.56	1.63	14.36	5.49	0.0
-1.1	1.71	-151.73	1.64	13.68	5.47	0.0
-0.56	1.75	-153.38	1.69	12.72	5.65	0.0
-1.86	2.52	-152.69	2.6	17.26	9.63	0.0
-1.66	2.42	-153.27	2.54	6.74	9.14	0.0
-4.32	3.01	-152.41	3.29	5.01	11.79	0.0
-3.15	2.3	-153.21	2.34	6.71	8.21	0.0
-2.23	2.15	-149.98	2.26	19.53	8.29	0.0
-1.33	2.48	-151.64	2.65	12.78	9.66	0.0
-1.8	2.17	-152.6	2.25	13.1	8.2	0.0
-4.68	2.11	-152.01	2.14	7.13	7.84	0.0
-4.95	2.51	-154.87	2.6	8.27	8.81	0.0
-3.22	1.92	-155.04	1.93	8.56	6.44	0.0
-3.48	1.81	-154.29	1.65	13.73	5.49	0.0
-3.17	2.01	-150.62	2.05	8.65	7.01	0.0
-6.46	1.87	-151.07	1.89	13.85	6.59	0.0
-3.54	2.41	-154.13	2.57	14.52	9.04	0.0
-6.81	2.15	-154.34	2.12	12.12	7.42	0.0
-6.03	1.66	-153.35	1.56	13.31	5.32	0.0
-3.92	1.55	-152.69	1.48	18.54	5.09	0.0
-3.95	1.53	-154.23	1.49	7.41	5.06	0.0
-3.78	1.93	-152.12	1.8	16.86	6.21	0.0
-7.12	2.17	-152.71	2.18	0.21	7.64	0.0
-4.15	2.72	-152.94	2.88	12.91	10.46	0.0
-4.29	2.23	-153.17	2.34	14.98	8.5	0.0
-4.03	1.51	-153.04	1.5	15.36	5.25	0.0
-2.7	2.01	-151.67	2.01	20.69	6.75	0.0
-1.63	3.2	-153.5	3.3	22.21	11.89	0.0
-6.21	2.5	-151.96	2.37	12.32	8.41	0.0
-9.91	5.09	-147.18	5.3	32.57	18.15	0.0
-6.11	2.4	-152.32	2.52	12.26	8.97	0.0
-5.03	1.68	-152.94	1.58	11.63	5.49	0.0
-6.15	1.74	-153.78	1.69	9.17	5.74	0.0
-4.32	1.62	-152.52	1.56	12.48	5.35	0.0
-8.21	1.86	-153.2	1.78	6.85	6.19	0.0
-6.07	1.7	-152.99	1.7	7.02	5.82	0.0
-2.11	1.64	-151.9	1.59	7.58	5.42	0.0
-3.37	1.57	-152.41	1.53	5.49	5.28	0.0
-3.0	2.71	-152.34	2.94	13.0	10.34	0.0
-1.31	2.88	-152.34	3.11	13.89	11.66	0.0
-3.03	2.28	-152.7	2.34	6.73	8.54	0.0
-4.34	1.96	-153.85	1.93	8.93	6.62	0.0
-2.59	1.54	-152.47	1.45	3.38	5.06	0.0
-4.0	1.85	-153.53	1.69	9.76	5.76	0.0
-2.04	3.17	-151.11	3.09	5.67	10.88	0.0
-4.61	3.58	-150.57	3.96	7.8	14.27	0.0
-2.86	2.89	-150.57	3.25	6.57	12.11	0.0
-2.06	3.14	-153.06	3.36	12.26	11.09	0.0
-3.43	1.65	-153.26	1.59	7.65	5.55	0.0
-0.59	2.01	-151.1	2.02	5.83	7.31	0.0
-2.79	1.56	-152.16	1.48	8.07	5.13	0.0
-2.39	1.48	-151.69	1.44	6.88	4.87	0.0
-2.91	2.17	-151.11	2.28	3.71	8.26	0.0
-2.83	1.88	-152.37	1.94	4.43	6.97	0.0
-2.56	1.97	-151.95	2.07	4.54	7.39	0.0
-3.44	1.94	-151.5	1.99	4.62	7.11	0.0
-3.89	1.9	-151.61	1.97	10.03	7.07	0.0
-3.83	1.68	-152.91	1.68	9.12	5.84	0.0
-3.87	3.07	-151.51	3.37	8.43	11.32	0.0
-3.27	1.58	-151.82	1.59	11.7	5.43	0.0
-3.47	1.43	-151.69	1.4	10.79	4.77	0.0
-2.39	1.73	-152.45	1.75	15.58	6.13	0.0
-1.23	2.88	-151.32	3.15	9.24	11.33	0.0
-3.45	2.11	-150.95	2.27	15.54	8.04	0.0
-1.18	3.0	-149.7	3.36	6.36	11.32	0.0
-2.05	2.1	-150.73	2.19	8.85	7.73	0.0
-3.33	1.96	-150.99	1.97	5.67	7.01	0.0
-1.65	1.83	-150.49	1.87	8.09	6.77	0.0
-2.13	1.87	-150.67	1.94	12.28	6.94	0.0
-2.73	1.8	-150.09	1.88	14.66	6.75	0.0
-2.39	1.85	-149.71	1.91	13.55	6.83	0.0
-2.77	2.24	-149.03	2.3	16.55	8.3	0.0
-1.62	2.28	-148.87	2.38	11.25	8.63	0.0
-3.95	2.13	-150.88	2.19	10.77	7.93	0.0
-4.66	2.29	-150.51	2.09	12.97	7.52	0.0
-3.73	2.32	-148.99	2.28	22.34	8.32	0.0
-3.7	2.26	-148.38	2.23	17.29	8.17	0.0
-3.63	2.12	-150.4	2.16	19.07	7.87	0.0
-2.62	1.87	-150.18	1.87	13.6	6.79	0.0
-1.64	2.0	-149.94	2.02	17.47	7.35	0.0
-2.11	3.05	-148.83	2.99	16.34	10.74	0.0
-1.4	3.32	-148.89	3.34	17.62	11.9	0.0
-0.73	2.72	-149.19	2.61	14.53	9.3	0.0
-2.01	3.36	-150.0	3.02	5.3	10.6	0.0
-0.82	3.25	-148.67	3.35	10.91	12.79	0.0
-0.63	2.61	-148.79	2.22	7.25	8.02	0.0
-2.11	4.62	-148.61	4.38	15.04	16.06	0.0
-3.11	2.78	-148.2	2.57	18.28	9.35	0.0
-2.23	3.72	-147.82	3.06	14.78	10.68	0.0
-3.27	2.81	-149.54	2.64	9.82	9.61	0.0
-3.44	2.7	-148.95	2.54	14.75	9.11	0.0
-0.46	3.54	-148.02	2.95	17.01	10.29	0.0
-4.38	2.81	-150.81	2.48	5.08	8.67	0.0
-3.49	3.31	-148.4	2.93	19.49	10.06	0.0
-1.13	2.72	-148.07	2.69	15.07	9.92	0.0
-0.56	2.3	-148.59	2.3	9.55	8.43	0.0
-0.54	2.15	-148.96	2.12	11.29	7.64	0.0
-1.64	2.06	-148.4	2.03	13.66	7.41	0.0
-0.54	2.02	-148.49	1.96	12.23	7.08	0.0
-2.55	2.04	-148.92	2.0	8.87	7.12	0.0
-3.39	2.08	-148.72	2.07	11.16	7.36	0.0
-2.24	2.42	-149.26	2.33	5.58	8.29	0.0
-1.2	2.23	-147.85	2.17	13.63	7.76	0.0
-1.04	2.04	-147.75	2.01	11.94	7.07	0.0
-0.03	2.46	-148.79	2.37	12.71	8.53	0.0
-1.61	2.53	-147.38	2.56	11.83	9.1	0.0
1.73	2.84	-147.02	2.87	1.96	10.38	0.0
0.16	3.09	-145.96	3.0	13.39	10.73	0.0
-0.57	2.87	-147.4	2.79	5.57	10.03	0.0
1.19	3.21	-151.36	3.28	11.69	11.9	0.0
-0.64	2.49	-148.85	2.44	7.79	8.57	0.0
-2.56	3.09	-147.67	3.12	10.0	11.18	0.0
0.59	2.16	-147.1	2.19	16.04	7.69	0.0
-0.27	2.34	-147.05	2.33	16.05	8.2	0.0
0.94	2.37	-147.26	2.4	13.52	8.35	0.0
-4.12	2.73	-145.76	2.7	14.33	9.58	0.0
-5.19	2.56	-145.28	2.59	13.61	8.91	0.0
-2.98	2.63	-146.09	2.62	16.04	9.48	0.0
-4.67	2.71	-146.32	2.74	19.12	9.8	0.0
0.46	3.16	-148.77	3.2	10.71	11.97	0.0
-2.7	2.4	-145.28	2.36	14.25	8.58	0.0
-6.41	2.57	-149.01	2.54	18.4	9.2	0.0
-2.66	2.45	-145.4	2.37	23.13	8.54	0.0
-3.91	2.42	-145.03	2.35	16.02	8.61	0.0
-4.36	2.98	-147.16	2.93	19.39	10.96	0.0
-3.76	2.41	-146.29	2.35	18.52	8.52	0.0
-4.69	2.28	-147.31	2.18	11.16	7.94	0.0
-2.83	2.0	-145.45	1.87	8.92	6.67	0.0
-2.84	1.98	-145.25	1.9	13.03	6.8	0.0
-2.84	2.24	-146.16	2.11	16.8	7.54	0.0
-2.32	2.22	-145.72	2.08	11.97	7.51	0.0
-2.75	2.41	-144.74	2.31	15.01	8.43	0.0
-2.19	2.29	-144.61	2.19	11.77	8.03	0.0
-3.9	3.04	-144.84	2.99	7.51	10.83	0.0
-3.38	2.55	-146.43	2.47	4.45	9.06	0.0
-0.78	2.19	-145.33	2.08	6.64	7.63	0.0
-3.08	1.9	-145.34	1.89	8.19	6.69	0.0
-4.12	2.21	-145.3	2.09	8.91	7.51	0.0
-2.96	2.04	-144.28	1.94	7.95	7.08	0.0
-4.45	2.08	-144.94	2.0	7.31	7.12	0.0
-4.1	2.32	-144.64	2.26	3.85	8.08	0.0
-5.54	2.17	-145.83	2.08	13.71	7.46	0.0
-3.02	2.15	-144.71	2.05	8.13	7.24	0.0
-3.08	2.38	-145.08	2.27	12.84	8.05	0.0
-2.9	2.21	-144.96	2.1	8.41	7.45	0.0
-5.29	1.99	-144.01	1.93	16.09	6.96	0.0
-3.08	2.28	-144.62	2.26	7.61	8.15	0.0
-4.25	2.07	-145.78	2.07	13.71	7.27	0.0
-4.64	2.05	-144.02	1.98	13.56	7.06	0.0
-2.55	2.48	-142.49	2.46	19.64	8.78	0.0
-5.48	2.3	-144.76	2.24	18.75	7.99	0.0
-5.56	2.6	-142.89	2.5	13.79	9.12	0.0
-3.75	2.23	-144.27	2.21	21.18	7.82	0.0
-6.68	3.26	-142.76	3.27	10.73	11.74	0.0
-8.93	2.89	-140.2	2.87	14.2	10.32	0.0
-5.15	2.38	-143.25	2.37	11.95	8.19	0.0
-4.22	2.29	-143.01	2.15	13.97	7.68	0.0
-7.18	2.13	-143.9	2.08	17.92	7.26	0.0
-3.59	2.1	-144.13	1.94	16.93	6.83	0.0
-2.32	2.61	-143.44	2.55	18.9	9.09	0.0
-1.24	2.28	-144.14	2.29	12.13	7.96	0.0
-3.49	2.07	-142.31	2.09	13.65	7.06	0.0
-2.51	2.07	-142.77	2.04	21.38	7.13	0.0
-4.41	2.39	-141.96	2.41	18.72	8.11	0.0
-6.36	2.61	-144.52	2.58	18.92	9.02	0.0
-2.84	2.59	-144.62	2.62	21.47	9.37	0.0
-2.42	2.04	-142.33	2.02	12.56	7.17	0.0
-3.49	2.36	-142.33	2.25	19.27	7.82	0.0
-2.23	2.76	-143.39	2.73	20.65	9.4	0.0
-3.66	2.43	-139.94	2.49	23.49	8.96	0.0
-5.89	2.01	-142.52	2.14	19.39	7.13	0.0
-5.05	1.97	-141.71	2.08	17.08	7.03	0.0
-3.59	2.31	-141.86	2.4	15.76	8.32	0.0
-1.42	2.42	-142.75	2.55	20.44	8.76	0.0
-1.89	2.45	-141.56	2.61	27.29	8.87	0.0
-4.58	3.05	-143.18	3.25	13.01	10.29	0.0
-3.76	2.4	-141.74	2.57	17.44	8.98	0.0
-4.02	2.14	-141.11	2.19	16.95	7.63	0.0
-2.59	2.65	-138.87	2.76	20.44	9.84	0.0
-4.46	1.88	-140.62	1.88	18.29	6.57	0.0
-4.83	2.35	-140.62	2.41	13.36	8.47	0.0
-6.22	1.99	-140.76	1.96	14.28	6.91	0.0
-6.32	1.95	-140.1	1.94	13.85	6.78	0.0
-7.29	2.14	-140.9	2.04	18.76	7.06	0.0
-3.52	2.23	-140.5	2.18	17.7	7.7	0.0
-5.53	1.97	-141.31	1.97	16.19	6.93	0.0
-5.17	2.43	-141.12	2.38	13.13	8.29	0.0
-4.12	2.47	-140.91	2.37	20.4	8.37	0.0
-3.83	2.72	-142.78	2.84	3.32	10.23	0.0
-2.91	1.95	-141.45	1.94	16.86	6.87	0.0
-5.45	2.29	-142.36	2.32	17.99	8.09	0.0
-3.68	2.27	-141.51	2.3	11.89	7.92	0.0
-4.26	2.25	-140.52	2.27	10.22	7.94	0.0
-4.37	2.32	-141.94	2.41	16.76	8.41	0.0
-5.53	2.53	-139.38	2.62	10.91	9.08	0.0
-7.28	2.85	-138.89	2.79	21.62	9.77	0.0
-9.45	3.15	-140.76	3.21	19.35	11.33	0.0
-4.33	2.67	-138.29	2.77	19.2	9.81	0.0
-5.85	2.36	-141.27	2.42	15.19	8.52	0.0
-5.29	1.96	-140.18	1.98	19.2	6.93	0.0
-4.06	2.0	-141.04	2.01	19.05	6.92	0.0
-4.84	2.04	-139.53	2.07	16.57	7.1	0.0
-4.2	3.33	-141.99	3.52	6.77	12.39	0.0
-4.43	2.25	-138.36	2.33	11.09	8.19	0.0
-4.61	2.22	-139.49	2.25	11.93	7.66	0.0
-9.4	3.33	-139.34	3.39	17.69	12.3	0.0
-6.29	2.77	-139.39	2.91	20.64	10.35	0.0
-0.6	2.69	-141.05	2.75	18.09	9.71	0.0
-2.83	2.95	-139.32	3.04	19.89	10.8	0.0
-2.54	2.75	-140.04	2.81	16.28	10.05	0.0
-6.46	2.32	-138.5	2.4	18.66	8.61	0.0
-4.41	2.32	-141.53	2.38	11.18	8.59	0.0
-3.25	2.15	-139.55	2.2	14.18	7.8	0.0
-4.31	2.16	-138.63	2.15	14.58	7.54	0.0
-5.06	1.67	-141.2	1.75	15.43	5.98	0.0
-3.87	1.88	-141.35	1.95	11.16	6.74	0.0
-3.39	2.19	-140.72	2.33	9.07	8.09	0.0
-4.36	2.12	-140.15	2.26	16.8	8.02	0.0
-3.0	2.17	-140.83	2.3	19.59	8.05	0.0
-3.14	2.3	-142.3	2.49	19.22	8.8	0.0
-1.88	2.15	-141.73	2.29	11.72	7.91	0.0
-6.11	2.5	-139.66	2.64	19.87	9.37	0.0
-2.85	3.27	-141.54	3.54	11.13	12.67	0.0
-4.82	1.87	-141.94	1.95	9.06	6.89	0.0
-4.64	2.12	-140.05	2.25	16.52	7.95	0.0
-3.89	1.97	-141.02	2.11	21.11	7.5	0.0
