x	n	u	Events
-13.6	-87.7	34.51	0.0
-13.66	-91.77	15.54	0.0
-14.24	-92.35	11.95	0.0
-13.53	-92.42	15.81	0.0
-13.75	-92.85	11.8	0.0
-13.04	-91.2	8.62	0.0
-12.8	-92.28	11.02	0.0
-13.33	-92.19	11.8	0.0
-14.05	-91.61	7.97	0.0
-14.9	-92.65	11.41	0.0
-13.57	-92.17	9.48	0.0
-15.45	-91.72	14.1	0.0
-14.51	-92.47	16.4	0.0
-15.37	-92.66	12.16	0.0
-14.17	-91.1	12.25	0.0
-15.24	-90.68	15.84	0.0
-13.89	-91.21	11.54	0.0
-14.95	-90.15	13.65	0.0
-14.45	-91.71	14.55	0.0
-15.24	-91.91	11.07	0.0
-12.8	-92.04	11.42	0.0
-14.3	-91.2	11.35	0.0
-14.8	-90.3	10.78	0.0
-13.09	-92.24	18.58	0.0
-8.63	-93.53	1.89	0.0
-15.03	-90.98	18.38	0.0
-14.79	-90.75	11.51	0.0
-15.06	-91.17	10.77	0.0
-14.5	-89.86	9.54	0.0
-15.94	-90.83	12.18	0.0
-16.68	-90.88	13.71	0.0
-19.27	-91.76	18.67	0.0
-16.69	-91.45	13.15	0.0
-15.39	-90.77	19.09	0.0
-16.22	-91.09	12.46	0.0
-16.44	-89.48	11.08	0.0
-16.88	-89.85	14.84	0.0
-15.18	-90.67	11.67	1.0
-15.98	-91.65	16.02	1.0
-17.3	-90.21	22.69	1.0
-16.54	-93.23	8.28	1.0
-15.95	-90.07	7.51	1.0
-18.18	-89.84	8.61	1.0
-15.06	-90.03	3.93	1.0
-16.27	-90.56	8.5	1.0
-16.25	-90.49	10.12	1.0
-15.76	-90.37	5.51	1.0
-15.46	-90.36	8.34	1.0
-15.23	-92.06	9.87	1.0
-13.64	-92.39	18.44	1.0
-10.66	-94.42	13.7	1.0
-10.32	-94.16	15.17	1.0
-11.78	-93.54	19.79	1.0
-11.79	-92.25	16.05	1.0
-9.93	-94.08	13.61	1.0
-10.24	-93.35	14.33	1.0
-11.49	-94.22	14.63	1.0
-9.7	-94.22	16.12	1.0
-10.8	-93.81	11.72	1.0
-7.86	-92.97	18.16	1.0
-5.64	-92.48	12.27	1.0
-6.69	-93.13	16.82	1.0
-5.89	-94.53	12.58	1.0
-5.21	-94.01	12.79	1.0
-6.11	-95.15	12.56	1.0
-6.31	-94.26	13.36	1.0
-5.37	-95.74	15.22	1.0
-3.8	-95.65	22.63	1.0
-4.06	-95.73	27.71	1.0
-5.02	-95.58	17.27	1.0
-5.09	-95.28	7.26	1.0
-4.24	-94.2	15.12	1.0
-4.4	-94.86	14.59	1.0
-5.23	-94.03	16.23	1.0
-5.46	-93.72	17.49	1.0
-4.18	-94.84	15.73	0.0
-5.33	-95.12	9.26	0.0
-4.42	-94.96	12.27	0.0
-5.05	-94.94	14.01	0.0
-6.08	-94.43	13.91	0.0
-5.7	-94.53	8.92	0.0
-4.72	-94.45	11.88	0.0
-5.72	-95.58	8.19	0.0
-6.39	-94.49	12.48	0.0
-4.44	-95.74	12.8	0.0
-4.26	-95.96	10.04	0.0
-8.39	-94.48	26.15	0.0
-5.42	-95.19	12.92	0.0
-4.13	-94.73	8.52	0.0
-6.05	-94.43	15.21	0.0
-5.7	-95.71	13.54	0.0
-5.66	-95.45	12.73	0.0
-5.49	-93.36	11.43	0.0
-6.94	-93.49	12.74	0.0
-6.49	-94.12	12.12	0.0
-7.2	-93.06	13.56	0.0
-6.08	-94.62	19.24	0.0
-6.43	-95.47	10.41	0.0
-7.02	-92.78	12.98	0.0
-6.53	-93.02	4.12	0.0
-5.88	-94.12	8.16	0.0
-2.71	-95.24	11.7	0.0
-4.95	-93.93	3.48	0.0
-8.13	-93.37	12.06	0.0
-7.44	-92.85	8.18	0.0
-7.31	-92.15	11.77	0.0
-7.64	-92.59	11.15	0.0
-8.18	-93.9	13.47	0.0
-8.15	-92.41	20.47	0.0
-7.8	-92.18	12.19	0.0
-7.41	-92.56	11.9	0.0
-6.89	-92.0	11.29	0.0
-7.46	-92.82	10.92	0.0
-7.77	-91.7	13.46	0.0
-7.01	-92.86	10.8	0.0
-7.31	-92.76	9.4	0.0
-7.8	-93.22	12.98	0.0
-7.59	-94.18	11.71	0.0
-8.05	-92.96	13.61	0.0
-8.81	-92.47	21.14	0.0
-8.28	-91.15	17.27	0.0
-7.37	-93.06	11.48	0.0
-7.02	-92.38	21.09	0.0
-7.81	-90.28	14.82	0.0
-9.23	-93.14	8.48	0.0
-8.38	-91.49	15.69	0.0
-7.48	-92.12	10.71	0.0
-7.53	-92.65	13.63	0.0
-7.46	-92.08	17.16	0.0
-6.66	-91.34	19.66	0.0
-10.78	-92.23	15.49	0.0
-6.94	-92.51	9.11	0.0
-6.03	-90.87	10.62	0.0
-7.82	-91.12	11.36	0.0
-6.43	-91.47	14.28	0.0
-7.66	-91.13	13.7	0.0
-7.65	-90.94	11.96	0.0
-8.9	-92.28	13.64	0.0
-7.37	-90.71	14.8	0.0
-6.39	-91.29	16.1	0.0
-7.87	-91.85	16.99	0.0
-7.65	-91.13	16.63	0.0
-7.43	-92.45	17.33	0.0
-6.54	-90.57	17.18	0.0
-8.19	-90.26	13.25	0.0
-6.8	-90.24	14.96	0.0
-7.83	-90.52	13.19	0.0
-9.29	-90.82	15.0	0.0
-7.63	-90.53	13.85	0.0
-7.79	-90.04	11.84	0.0
-6.52	-88.85	14.21	0.0
-4.32	-91.53	16.25	0.0
-6.88	-91.88	7.51	0.0
-3.94	-92.53	12.98	0.0
-4.48	-90.89	13.13	0.0
-3.41	-91.41	14.4	0.0
-7.09	-91.87	11.41	0.0
-6.4	-90.29	3.21	0.0
-5.27	-89.9	5.27	0.0
-5.64	-90.22	12.99	0.0
-5.44	-90.9	17.93	0.0
-4.26	-89.93	12.55	0.0
-6.04	-92.13	9.68	0.0
-6.12	-89.53	11.91	0.0
-7.05	-89.27	6.61	0.0
-7.28	-88.75	4.4	0.0
-6.67	-89.6	5.27	0.0
-7.32	-90.0	5.32	0.0
-6.15	-90.5	9.35	0.0
-4.9	-91.22	19.67	0.0
-7.79	-89.5	9.33	0.0
-6.67	-89.43	3.67	0.0
-7.46	-89.96	12.21	0.0
-6.74	-89.2	11.09	0.0
-7.16	-87.33	12.59	0.0
-5.73	-88.28	8.31	0.0
-6.87	-88.8	9.95	0.0
-6.15	-86.51	14.89	0.0
-5.61	-87.27	11.97	0.0
-7.6	-89.4	14.14	0.0
-2.2	-90.48	10.55	0.0
-4.69	-89.41	14.06	0.0
-5.6	-89.3	-1.49	0.0
-6.76	-88.16	10.88	0.0
-7.54	-89.11	16.72	0.0
-6.46	-89.75	11.53	0.0
-7.5	-89.55	11.06	0.0
-8.73	-89.23	11.96	0.0
-8.87	-83.19	13.49	0.0
-6.45	-86.85	16.35	0.0
-5.28	-88.82	16.89	0.0
-4.55	-88.33	5.24	0.0
-3.38	-89.05	17.52	0.0
-8.45	-87.55	8.47	0.0
-7.45	-88.59	4.8	0.0
-7.53	-88.14	7.21	0.0
-5.95	-89.04	14.66	0.0
-5.53	-87.95	7.83	0.0
-6.73	-87.79	2.03	0.0
-7.42	-87.69	6.48	0.0
-8.22	-87.23	7.12	0.0
-7.46	-88.44	6.82	0.0
-7.71	-88.98	9.12	0.0
-5.36	-86.92	14.37	0.0
-5.51	-88.24	3.29	0.0
-7.3	-86.4	4.37	0.0
-7.98	-86.43	2.72	0.0
-8.55	-86.43	7.01	0.0
-8.74	-87.06	5.76	0.0
-8.24	-87.54	2.09	0.0
-8.79	-87.47	7.37	0.0
-11.72	-87.88	6.9	0.0
-9.96	-86.7	11.81	0.0
-11.03	-87.23	13.17	0.0
-8.26	-86.6	6.39	0.0
-7.96	-86.78	6.32	0.0
-9.54	-86.85	2.75	0.0
-8.28	-86.21	8.78	0.0
-9.7	-87.22	11.11	0.0
-9.06	-86.44	3.97	0.0
-9.97	-87.06	6.1	0.0
-9.83	-88.27	5.69	0.0
-9.71	-86.94	10.66	0.0
-10.15	-85.45	12.91	0.0
-11.68	-86.27	6.35	0.0
-9.03	-86.09	5.17	0.0
-9.95	-85.89	8.13	0.0
-10.94	-85.69	12.86	0.0
-10.0	-84.72	9.31	0.0
-11.72	-85.05	13.56	0.0
-12.89	-83.02	7.1	0.0
-5.81	-88.21	12.35	0.0
-11.46	-86.03	11.05	0.0
-11.25	-84.79	12.45	0.0
-10.22	-85.13	9.83	0.0
-10.95	-84.65	12.69	0.0
-11.01	-86.54	8.15	0.0
-11.82	-86.33	9.8	0.0
-12.26	-85.95	6.16	0.0
-11.25	-84.46	10.57	0.0
-10.86	-85.09	12.45	0.0
-11.23	-85.63	9.27	0.0
-10.52	-85.51	12.93	0.0
-14.24	-85.6	11.19	0.0
-11.35	-85.23	7.83	0.0
-10.96	-86.2	9.3	0.0
-10.9	-85.14	13.24	0.0
-8.18	-85.6	-0.41	0.0
-8.88	-85.74	8.29	0.0
-5.54	-86.21	14.37	0.0
-8.69	-83.82	4.03	0.0
-10.46	-84.7	3.59	0.0
-10.86	-84.98	12.09	0.0
-12.3	-85.31	12.51	0.0
-10.71	-84.71	19.13	0.0
-9.58	-84.35	7.26	0.0
-12.85	-82.88	16.71	0.0
-8.66	-86.79	4.34	0.0
-7.42	-86.05	10.43	0.0
-10.09	-84.95	2.72	0.0
-9.83	-86.03	6.31	0.0
-10.22	-84.49	6.01	0.0
-10.39	-85.91	0.04	0.0
-10.44	-86.14	2.8	0.0
-10.08	-84.47	8.12	0.0
-10.47	-85.09	13.58	0.0
-10.71	-87.43	11.81	0.0
-11.21	-85.96	3.22	0.0
-10.28	-84.69	2.85	0.0
-11.01	-84.73	6.15	0.0
-11.82	-84.25	11.1	0.0
-11.73	-84.68	10.4	0.0
-10.82	-84.06	8.24	0.0
-10.15	-83.78	9.36	0.0
-9.62	-85.26	11.56	0.0
-11.31	-84.83	4.7	0.0
-9.01	-84.21	3.94	0.0
-11.08	-84.46	12.65	0.0
-13.51	-84.42	15.18	0.0
-11.8	-84.7	11.01	0.0
-11.6	-84.05	7.64	0.0
-10.85	-82.75	14.5	0.0
-8.85	-84.38	15.06	0.0
-11.56	-82.47	11.75	0.0
-11.41	-82.32	12.06	0.0
-11.7	-82.65	14.97	0.0
-9.36	-84.03	13.16	0.0
-8.04	-86.1	13.11	0.0
-11.67	-82.53	9.4	0.0
-11.56	-81.86	14.43	0.0
-10.07	-82.05	18.42	0.0
-12.06	-82.01	15.81	0.0
-13.33	-81.74	19.48	0.0
-11.85	-81.11	14.27	0.0
-12.36	-81.38	14.76	0.0
-12.66	-80.46	12.08	0.0
-13.64	-81.44	16.37	0.0
-12.31	-81.3	19.19	0.0
-12.71	-82.96	11.49	0.0
-12.77	-82.49	12.11	0.0
-10.52	-81.69	10.89	0.0
-11.36	-80.59	15.63	0.0
-11.79	-81.4	19.53	0.0
-11.86	-80.96	20.31	0.0
-13.35	-80.63	15.33	0.0
-15.42	-79.51	18.13	0.0
-12.31	-80.43	23.2	0.0
-12.86	-80.44	18.78	0.0
-15.28	-79.87	21.64	0.0
-13.27	-80.05	13.29	0.0
-13.49	-80.27	15.12	0.0
-12.86	-79.44	17.75	0.0
-15.64	-79.45	17.13	0.0
-12.23	-79.6	17.3	0.0
-15.35	-79.48	15.49	0.0
-16.24	-81.78	14.99	0.0
-12.62	-80.17	21.81	0.0
-13.63	-79.99	16.26	0.0
-13.27	-80.88	16.94	0.0
-11.61	-81.02	14.38	0.0
-13.96	-81.4	19.32	0.0
-14.77	-80.64	20.08	0.0
-13.31	-80.74	14.38	0.0
-13.88	-79.94	11.52	0.0
-13.29	-80.48	13.46	0.0
-13.91	-81.35	19.06	0.0
-18.02	-80.39	20.03	0.0
-14.27	-79.46	28.75	0.0
-12.6	-79.11	13.0	0.0
-15.06	-78.54	19.45	0.0
-12.49	-79.89	17.75	0.0
-12.75	-76.03	20.19	0.0
-14.82	-79.0	13.91	0.0
-14.45	-79.27	17.06	0.0
-14.69	-79.25	17.11	0.0
-12.94	-80.51	7.72	0.0
-15.04	-77.77	11.12	0.0
-14.75	-79.17	13.61	0.0
-15.56	-77.82	14.18	0.0
-15.74	-79.5	15.3	0.0
-16.47	-80.25	12.25	0.0
-16.25	-78.44	17.99	0.0
-16.74	-77.87	16.3	0.0
-16.96	-77.58	14.57	0.0
-12.39	-78.84	11.9	0.0
-13.09	-75.19	15.9	0.0
-13.99	-79.14	13.7	0.0
-15.59	-78.73	16.52	0.0
-13.45	-79.78	13.49	0.0
-14.06	-77.98	13.16	0.0
-15.04	-76.94	20.84	0.0
-13.76	-78.53	21.81	0.0
-12.71	-76.55	6.51	0.0
-15.13	-75.94	2.52	0.0
-15.97	-77.7	4.3	0.0
-14.66	-77.6	7.39	0.0
-14.17	-76.86	9.99	0.0
-14.76	-76.29	8.32	0.0
-14.68	-77.21	12.48	0.0
-14.66	-80.42	11.68	0.0
-10.8	-80.9	11.91	0.0
-14.75	-77.52	10.95	0.0
-14.5	-77.44	6.51	0.0
-15.06	-77.73	11.04	0.0
-16.67	-76.92	12.18	0.0
-15.85	-77.76	16.69	0.0
-17.21	-77.46	15.64	0.0
-15.55	-76.83	11.26	0.0
-14.71	-78.33	16.89	0.0
-17.78	-78.83	15.79	0.0
-14.99	-76.93	14.72	0.0
-13.45	-77.5	13.79	0.0
-14.55	-76.86	13.85	0.0
-13.56	-75.84	21.18	0.0
-15.35	-77.18	17.69	0.0
-16.04	-77.04	15.11	0.0
-15.37	-76.85	16.11	0.0
-16.4	-76.71	12.9	0.0
-16.8	-76.51	15.14	0.0
-16.14	-76.64	13.06	0.0
-15.54	-76.18	17.65	0.0
-16.7	-75.31	16.76	0.0
-17.54	-78.4	20.61	0.0
-16.28	-79.1	15.37	0.0
-15.77	-76.79	20.05	0.0
-19.53	-74.32	17.82	0.0
-17.39	-75.52	7.68	0.0
-17.13	-76.29	13.8	0.0
-16.5	-76.36	13.26	0.0
-16.28	-75.8	13.91	0.0
-16.29	-76.22	13.11	0.0
-16.81	-75.09	14.37	0.0
-16.35	-77.04	16.83	0.0
-14.32	-77.39	30.88	0.0
-21.58	-70.36	5.38	0.0
-20.41	-73.23	13.72	0.0
-17.43	-73.75	15.16	0.0
-17.81	-74.29	9.65	0.0
-18.71	-74.4	10.48	0.0
-17.46	-74.69	15.07	0.0
-17.61	-75.68	17.85	0.0
-19.84	-72.78	13.79	0.0
-20.3	-74.04	15.75	0.0
-17.97	-74.0	12.48	0.0
-18.61	-73.83	9.01	0.0
-20.27	-73.91	11.59	0.0
-22.35	-76.57	14.12	0.0
-19.99	-72.85	17.12	0.0
-20.27	-73.16	17.71	0.0
-17.81	-75.56	5.05	0.0
-17.29	-74.75	11.04	0.0
-14.39	-75.77	17.17	0.0
-19.7	-75.56	7.08	0.0
-19.73	-76.64	7.08	0.0
-19.83	-76.51	8.19	0.0
-18.67	-73.93	12.86	0.0
-18.59	-73.7	10.76	0.0
-19.32	-74.68	4.83	0.0
-20.11	-75.23	12.39	0.0
-19.36	-74.16	11.57	0.0
-19.45	-74.78	13.19	0.0
-19.82	-74.07	9.46	0.0
-18.62	-73.7	-0.08	0.0
-19.0	-75.32	2.77	0.0
-19.28	-73.76	6.05	0.0
-18.02	-73.39	3.9	0.0
-18.78	-73.57	14.59	0.0
-20.69	-73.97	14.6	0.0
-18.22	-74.53	12.46	0.0
-20.1	-73.77	11.08	0.0
-19.8	-74.28	9.66	0.0
-20.71	-74.48	10.03	0.0
-21.15	-74.28	3.38	0.0
-19.97	-73.72	2.82	0.0
-19.83	-73.49	6.91	0.0
-20.54	-74.67	9.16	0.0
-21.72	-74.89	9.04	0.0
-20.51	-75.31	13.59	0.0
-20.31	-75.2	10.06	0.0
-20.98	-71.82	19.71	0.0
-22.33	-73.7	8.56	0.0
-20.06	-73.66	1.86	0.0
-22.01	-73.22	5.7	0.0
-22.14	-73.38	7.51	0.0
-22.48	-73.14	4.04	0.0
-21.01	-73.32	9.4	0.0
-22.3	-73.36	2.23	0.0
-21.17	-73.18	11.23	0.0
-22.08	-72.88	10.21	0.0
-21.93	-72.57	13.85	0.0
-21.47	-72.34	9.96	0.0
-21.09	-72.72	15.27	0.0
-20.81	-72.0	6.08	0.0
-20.3	-71.11	10.75	0.0
-19.32	-71.91	11.05	0.0
-19.21	-71.48	8.73	0.0
-19.99	-71.53	13.16	0.0
-19.23	-71.32	13.46	0.0
-21.11	-72.67	10.8	0.0
-19.33	-72.41	15.21	0.0
-18.87	-73.08	17.22	0.0
-20.92	-73.69	15.78	0.0
-19.68	-70.96	7.36	0.0
-21.47	-71.54	7.29	0.0
-21.27	-71.42	10.11	0.0
-17.29	-68.88	12.04	0.0
-18.24	-70.8	7.71	0.0
-20.58	-71.08	13.35	0.0
-18.36	-70.89	13.04	0.0
-20.24	-71.5	7.5	0.0
-19.72	-71.33	13.46	0.0
-20.41	-72.53	16.23	0.0
-19.87	-71.0	9.03	0.0
-19.6	-70.9	14.9	0.0
-18.98	-72.03	13.46	0.0
-18.66	-74.04	18.51	0.0
-21.1	-72.35	4.03	0.0
-19.57	-72.27	19.97	0.0
-20.5	-73.77	12.9	0.0
-19.69	-70.59	16.85	0.0
-18.81	-71.95	17.03	0.0
-18.27	-72.91	15.88	0.0
-18.23	-70.66	5.12	0.0
-19.46	-70.03	13.51	0.0
-19.43	-69.45	7.51	0.0
-19.44	-69.56	17.57	0.0
-22.89	-69.01	15.71	0.0
-22.47	-68.32	17.79	0.0
-20.91	-69.0	15.68	0.0
-19.81	-69.07	18.05	0.0
-20.42	-70.07	16.17	0.0
-19.26	-69.3	11.61	0.0
-19.81	-69.58	8.98	0.0
-19.19	-70.85	4.79	0.0
-19.54	-68.27	5.39	0.0
-19.62	-69.47	7.28	0.0
-19.65	-68.93	13.97	0.0
-20.79	-70.3	9.04	0.0
-20.28	-68.99	6.02	0.0
-19.65	-68.72	6.66	0.0
-19.41	-68.42	8.16	0.0
-20.46	-69.5	5.63	0.0
-19.65	-68.23	12.41	0.0
-21.89	-68.53	11.29	0.0
-20.18	-68.16	10.93	0.0
-22.39	-68.61	17.26	0.0
-19.28	-69.08	14.95	0.0
-19.5	-69.45	11.25	0.0
-20.28	-69.3	14.06	0.0
-18.34	-68.46	5.31	0.0
-19.4	-69.43	6.04	0.0
-20.38	-68.16	9.48	0.0
-19.94	-67.61	2.37	0.0
-18.55	-67.33	-2.03	0.0
-19.23	-68.98	-0.6	0.0
-19.69	-67.03	3.71	0.0
-20.76	-67.49	9.11	0.0
-20.0	-66.62	11.1	0.0
-20.14	-68.6	13.68	0.0
-19.73	-67.48	12.45	0.0
-19.75	-67.16	14.91	0.0
-21.32	-67.32	5.68	0.0
-21.35	-68.02	2.95	0.0
-21.34	-67.0	4.13	0.0
-20.66	-66.65	6.17	0.0
-20.71	-66.9	12.32	0.0
-20.85	-67.61	8.57	0.0
-20.9	-67.89	12.15	0.0
-20.18	-67.68	9.74	0.0
-21.33	-67.0	2.78	0.0
-21.53	-66.05	6.26	0.0
-20.39	-66.44	8.04	0.0
-20.02	-66.59	5.72	0.0
-19.96	-66.4	10.81	0.0
-21.16	-66.37	13.16	0.0
-22.15	-64.97	15.65	0.0
-21.13	-66.3	10.82	0.0
-19.29	-66.66	12.2	0.0
-21.07	-66.88	13.0	0.0
-21.39	-67.15	8.85	0.0
-20.29	-67.22	9.74	0.0
-17.63	-67.55	10.31	0.0
-18.39	-66.66	6.26	0.0
-22.76	-65.63	13.37	0.0
-18.47	-65.3	8.65	0.0
-22.03	-65.65	3.04	0.0
-22.08	-66.31	3.01	0.0
-21.48	-65.86	5.13	0.0
-22.96	-65.95	5.7	0.0
-22.33	-65.26	6.5	0.0
-23.22	-65.8	4.45	0.0
-23.15	-66.7	7.39	0.0
-22.59	-65.52	9.51	0.0
-21.37	-65.35	6.12	0.0
-22.81	-64.2	7.57	0.0
-22.88	-65.59	10.51	0.0
-21.99	-64.49	3.27	0.0
-23.2	-64.06	4.06	0.0
-21.9	-65.99	6.44	0.0
-23.35	-64.84	9.05	0.0
-23.75	-65.24	3.63	0.0
-23.46	-64.17	-1.01	0.0
-24.63	-65.37	5.08	0.0
-25.1	-64.82	7.51	0.0
-24.56	-63.77	9.61	0.0
-25.26	-63.94	11.24	0.0
-25.87	-63.94	10.09	0.0
-25.91	-64.49	7.55	0.0
-25.32	-63.21	10.73	0.0
-26.85	-64.61	7.81	0.0
-23.11	-63.71	0.98	0.0
-25.09	-63.4	5.38	0.0
-25.24	-63.41	7.66	0.0
-24.96	-63.39	5.25	0.0
-24.64	-63.95	10.72	0.0
-24.88	-63.29	7.05	0.0
-25.23	-63.43	6.97	0.0
-25.52	-63.72	7.72	0.0
-26.39	-63.21	7.65	0.0
-23.14	-64.74	18.43	0.0
-23.98	-63.56	6.8	0.0
-25.37	-62.59	5.28	0.0
-31.33	-62.46	3.33	0.0
-24.85	-63.1	12.7	0.0
-24.34	-59.54	7.93	0.0
-27.85	-62.84	17.42	0.0
-30.7	-62.16	16.72	0.0
-27.16	-62.66	12.67	0.0
-26.84	-62.02	5.63	0.0
-26.23	-61.82	7.09	0.0
-24.52	-62.57	4.54	0.0
-26.7	-62.57	3.65	0.0
-27.78	-62.93	0.98	0.0
-27.37	-62.84	9.6	0.0
-26.46	-62.13	11.9	0.0
-26.13	-61.99	12.36	0.0
-27.15	-60.97	4.1	0.0
-27.5	-62.08	10.39	0.0
-27.62	-62.99	11.2	0.0
-27.53	-62.11	11.74	0.0
-25.3	-62.25	11.25	0.0
-26.54	-62.09	8.96	0.0
-25.63	-62.12	9.55	0.0
-24.94	-61.61	6.27	0.0
-25.79	-61.68	7.66	0.0
-25.65	-62.83	1.11	0.0
-26.76	-62.65	9.55	0.0
-23.87	-62.11	4.65	0.0
-26.83	-61.91	5.49	0.0
-27.64	-60.05	5.13	0.0
-25.86	-61.17	7.82	0.0
-24.68	-61.63	9.6	0.0
-25.44	-61.41	9.75	0.0
-25.14	-61.6	9.61	0.0
-24.13	-61.37	2.41	0.0
-25.55	-61.28	3.44	0.0
-25.56	-61.75	7.54	0.0
-27.7	-61.53	10.13	0.0
-25.5	-62.71	9.37	0.0
-26.23	-60.97	2.04	0.0
-26.53	-60.52	-1.83	0.0
-28.08	-63.09	6.72	0.0
-26.32	-61.0	7.21	0.0
-26.15	-61.97	17.57	0.0
-26.16	-62.08	7.34	0.0
-25.62	-60.15	9.63	0.0
-26.3	-62.28	13.5	0.0
-25.48	-61.48	14.25	0.0
-25.59	-61.69	10.77	0.0
-25.79	-63.31	12.44	0.0
-25.55	-59.94	14.66	0.0
-24.9	-61.77	19.66	0.0
-25.41	-61.93	20.05	0.0
-27.04	-61.43	5.98	0.0
-26.62	-61.9	6.26	0.0
-26.58	-60.16	9.88	0.0
-27.73	-60.25	16.83	0.0
-28.11	-59.96	8.93	0.0
-24.12	-59.94	1.04	0.0
-26.88	-60.31	12.9	0.0
-26.58	-60.12	13.21	0.0
-26.0	-58.19	16.36	0.0
-25.31	-58.35	16.84	0.0
-25.74	-60.7	13.23	0.0
-25.83	-58.37	5.52	0.0
-26.23	-59.45	8.17	0.0
-24.94	-60.39	9.87	0.0
-27.3	-59.96	16.62	0.0
-27.24	-60.09	21.98	0.0
-27.55	-59.69	18.43	0.0
-28.54	-58.39	16.69	0.0
-26.66	-57.96	11.99	0.0
-28.37	-58.96	11.76	0.0
-27.4	-58.11	15.68	0.0
-28.19	-58.55	12.14	0.0
-26.27	-58.02	9.97	0.0
-29.0	-59.25	8.68	0.0
-25.8	-58.41	16.75	0.0
-27.27	-58.64	15.16	0.0
-26.5	-57.66	8.87	0.0
-27.68	-58.8	11.21	0.0
-22.58	-60.44	28.31	0.0
-29.72	-57.98	17.34	0.0
-27.55	-57.68	22.2	0.0
-30.09	-59.12	12.46	0.0
-27.54	-58.0	18.14	0.0
-27.01	-58.08	19.91	0.0
-28.31	-58.53	21.18	0.0
-27.48	-60.26	14.85	0.0
-27.75	-59.17	20.97	0.0
-28.45	-58.84	11.2	0.0
-26.27	-58.47	18.1	0.0
